method,idx,kp,lam,gamma,reg,power,clip,mean_pos,final_pos,drift,solver,score,ok
method1,87,40.0,0.1,10.0,0.1,1.0,1.0,0.023790503675421314,0.046041006356272764,0.2525363745704777,1.8971708217755052,0.02978981657771862,True
method1,88,40.0,0.1,10.0,0.1,1.0,2.0,0.02311811456680295,0.03516062093789838,0.18816798527412845,1.459736961358683,0.02761134275296486,True
method1,89,40.0,0.1,10.0,1.0,1.0,1.0,0.04555675328908179,0.04952184340078786,0.27316239293711775,2.0484799030556204,0.052044241099351955,True
method1,90,40.0,0.1,10.0,1.0,1.0,2.0,0.03869232618608613,0.04445417583923714,0.24062570850535775,1.892557918340565,0.044451119315363566,True
method1,91,40.0,0.5,0.5,0.01,1.0,1.0,0.014875362775795889,0.03014545960247239,0.16390720306523432,1.2582815526642679,0.01878264761343271,True
method1,92,40.0,0.5,0.5,0.01,1.0,2.0,0.014863376814313278,0.029880809568879018,0.16212458316590458,1.248917420561164,0.01873032718791195,True
method1,93,40.0,0.5,0.5,0.1,1.0,1.0,0.03311429472390341,0.03028256790296574,0.16398621259295346,1.2979768450863411,0.03704300739830565,True
method1,94,40.0,0.5,0.5,0.1,1.0,2.0,0.03365391378617424,0.03309098364730594,0.1781251018260041,1.4052861539078354,0.037919058899648236,True
method1,95,40.0,0.5,0.5,1.0,1.0,1.0,0.07290527637088631,0.05317260980642806,0.16744150035049682,2.0702713340226957,0.07728924204490759,False
method1,96,40.0,0.5,0.5,1.0,1.0,2.0,0.07464280123451976,0.07924038868493827,0.24213747040357234,3.031879205765952,0.08100149024547418,False
method1,97,40.0,0.5,1.0,0.01,1.0,1.0,0.01477121630274234,0.027024966126585843,0.14608090740421673,1.0877067250150088,0.01823668781333418,True
method1,98,40.0,0.5,1.0,0.01,1.0,2.0,0.014742700299071019,0.026443329941461487,0.14225482138714826,1.0675923083469543,0.01812159288098746,True
method1,99,40.0,0.5,1.0,0.1,1.0,1.0,0.032092732205649774,0.03722439814881331,0.2051246568215266,1.547828583989949,0.03696913963407528,True
method1,100,40.0,0.5,1.0,0.1,1.0,2.0,0.03197348170773918,0.03788281955775446,0.210182096316142,1.5909274932421622,0.0369725873806831,True
method1,101,40.0,0.5,1.0,1.0,1.0,1.0,0.07192687964526673,0.06058277159896377,0.18494519033278392,2.315156850926527,0.07678336187738567,False
method1,102,40.0,0.5,1.0,1.0,1.0,2.0,0.06627997427121395,0.07008259085039513,0.27399434367680614,2.5967283772129433,0.07305822533335654,False
method1,103,40.0,0.5,2.0,0.01,1.0,1.0,0.014207232352761747,0.020135587377856895,0.10615268835496772,0.7870340851971123,0.016723803162459656,True
method1,104,40.0,0.5,2.0,0.01,1.0,2.0,0.014163016941421493,0.019410397592670926,0.10161083088244698,0.7637078965829712,0.016577087507361917,True
method1,105,40.0,0.5,2.0,0.1,1.0,1.0,0.030107777400071593,0.042003350839624067,0.2319320413849202,1.7538801285222136,0.03562335829203111,True
method1,106,40.0,0.5,2.0,0.1,1.0,2.0,0.029383298073964715,0.04011968149928025,0.2192306046618187,1.7078498557866404,0.03462183509509441,True
method1,107,40.0,0.5,2.0,1.0,1.0,1.0,0.06600195400174685,0.06191143286476464,0.21083317539701749,2.310382597086888,0.07137380880823065,False
method1,108,40.0,0.5,2.0,1.0,1.0,2.0,0.05420445874985763,0.049152854608721784,0.25084975437158813,1.9639564215596754,0.06020343204806924,False
method1,109,40.0,0.5,5.0,0.01,1.0,1.0,0.01240339880571522,0.00500004170827349,0.025532400606875588,0.2061828467106088,0.013017138241208037,True
method1,110,40.0,0.5,5.0,0.01,1.0,2.0,0.01240339880571522,0.00500004170827349,0.025532400606875588,0.2061828467106088,0.013017138241208037,True
method1,111,40.0,0.5,5.0,0.1,1.0,1.0,0.026136961643971147,0.04369224122584659,0.23854161370097163,1.8360812639684592,0.03182583454997481,True
method1,112,40.0,0.5,5.0,0.1,1.0,2.0,0.025566523614355453,0.03853065227601109,0.20543721965156814,1.665246604101719,0.030507891309437676,True
method1,113,40.0,0.5,5.0,1.0,1.0,1.0,0.05206760327466773,0.04467406396333008,0.21998000256209874,1.7615356793173373,0.05734797116556837,False
method1,114,40.0,0.5,5.0,1.0,1.0,2.0,0.04288800154338153,0.039990042615391075,0.2156141374471365,1.6802755210754237,0.04804042205286197,True
method1,115,40.0,0.5,10.0,0.01,1.0,1.0,0.010734476620073216,0.007361381773937207,0.047498060249592286,0.4580721128056036,0.011913473881467863,True
method1,116,40.0,0.5,10.0,0.01,1.0,2.0,0.010734476620073216,0.007361381773937207,0.047498060249592286,0.4580721128056036,0.011913473881467863,True
method1,117,40.0,0.5,10.0,0.1,1.0,1.0,0.023097128499503152,0.041370052735867364,0.225602181220411,1.7152652767845415,0.028466804762303642,True
method1,118,40.0,0.5,10.0,0.1,1.0,2.0,0.022682676904848344,0.03411531483887325,0.1823903829223876,1.4259568548449826,0.027043462990718588,True
method1,119,40.0,0.5,10.0,1.0,1.0,1.0,0.04377278945400242,0.041550333262796744,0.22520665971375853,1.7217243495032202,0.049137784823029204,True
method1,120,40.0,0.5,10.0,1.0,1.0,2.0,0.03797883898608456,0.0391100531495162,0.20977710956850532,1.6368819160677741,0.04299282213548855,True
method1,121,80.0,0.01,0.5,0.01,1.0,1.0,0.00996503348731463,0.013675447684456199,0.09924376849400934,1.2641458091928237,0.01258198176179123,True
method1,122,80.0,0.01,0.5,0.01,1.0,2.0,0.00973480708123163,0.011000669165052752,0.0891066164723316,1.105975969134847,0.012069927395245686,True
method1,123,80.0,0.01,0.5,0.1,1.0,1.0,0.02299229877165747,0.02802920741239922,0.18400430412127713,2.356254893919049,0.02785051230104254,True
method1,124,80.0,0.01,0.5,0.1,1.0,2.0,0.021534223734380634,0.02554427786256131,0.17751020101122636,2.231643735249165,0.026200249622229745,True
method1,125,80.0,0.01,0.5,1.0,1.0,1.0,0.0568310991682638,0.04484236406270273,0.18114079806131145,3.4523000227707574,0.062180065140875415,False
method1,126,80.0,0.01,0.5,1.0,1.0,2.0,0.052652439320451154,0.05812379244087784,0.3238881327976594,4.528532588904305,0.06139446827085649,False
method1,127,80.0,0.01,1.0,0.01,1.0,1.0,0.009620654647072943,0.009165645212895876,0.07568175726192435,0.8616532674489568,0.011565116426035908,True
method1,128,80.0,0.01,1.0,0.01,1.0,2.0,0.009294921114817497,0.006202518173329519,0.06683674907431976,0.7173716792850455,0.010990341935946415,True
