method,idx,kp,lam,gamma,reg,power,clip,mean_pos,final_pos,drift,solver,score,ok
method2,64,40.0,0.5,10.0,1e-08,0.8,1.0,0.04277454566887043,0.07300692973652498,0.40385030046222864,2.957439276059552,0.05233027131614478,True
method2,65,40.0,0.5,10.0,1e-06,0.9,1.0,0.04326338593464051,0.07129761357964239,0.393501714150886,2.88662954575556,0.05257673499053601,True
method2,66,40.0,0.5,10.0,0.0001,1.0,1.0,0.042437975211993544,0.07398133178616394,0.4097256192984343,2.994714305697004,0.052129844750810735,True
method2,67,40.0,0.5,20.0,1e-08,0.8,1.0,0.03218486666613051,0.07425208629120206,0.41244094783902907,3.190748090918792,0.04202905966837049,True
method2,68,40.0,0.5,20.0,1e-06,0.9,1.0,0.032579627445402895,0.07774669839429724,0.43327807241917177,3.1144922463856672,0.04280243501697917,True
method2,69,40.0,0.5,20.0,0.0001,1.0,1.0,0.033420888890653054,0.07436648903701147,0.4119980997064578,2.977188567026303,0.043149445168295365,True
method2,70,40.0,0.5,50.0,1e-08,0.8,1.0,0.029023776214690225,0.07534827521573727,0.42506916412772144,3.0741707690486897,0.039062244881768994,True
method2,71,40.0,0.5,50.0,1e-06,0.9,1.0,0.028791751038800505,0.07684254694030944,0.4322715297236849,3.0793176595817395,0.03897684046306507,True
method2,72,40.0,0.5,50.0,0.0001,1.0,1.0,0.029557297282615903,0.07083687698243463,0.3956694978650494,2.9325435979618235,0.03893695903889781,True
method2,73,40.0,1.0,1.0,1e-08,0.8,1.0,0.08096111074818574,0.12506455374371925,0.3324746520447705,5.016137974146029,0.09011867277615415,False
method2,74,40.0,1.0,1.0,1e-06,0.9,1.0,0.08095461748914932,0.12502647457769273,0.33235292619728596,5.014547959119437,0.09010894999265476,False
method2,75,40.0,1.0,1.0,0.0001,1.0,1.0,0.080980497675129,0.12494506768974903,0.33195576578976016,5.010991816712991,0.09012510889928071,False
method2,76,40.0,1.0,2.0,1e-08,0.8,1.0,0.07773955064673488,0.11323459253030724,0.31149683224122116,4.546565438611875,0.08624277001086524,False
method2,77,40.0,1.0,2.0,1e-06,0.9,1.0,0.07773651568258855,0.11314383865240013,0.3111372886590744,4.542665077372324,0.0862305939944562,False
method2,78,40.0,1.0,2.0,0.0001,1.0,1.0,0.07777601025096992,0.11300313332749842,0.3106926341427152,4.5365589728921165,0.08625814242027029,False
method2,79,40.0,1.0,5.0,1e-08,0.8,1.0,0.06557436091207963,0.059708135020584585,0.21958039576535945,2.509299902683802,0.07122061877872872,False
method2,80,40.0,1.0,5.0,1e-06,0.9,1.0,0.06565839374973996,0.05967663090816772,0.21903296365629496,2.5076084670853716,0.07129285725640855,False
method2,81,40.0,1.0,5.0,0.0001,1.0,1.0,0.06592565193676234,0.05985745479430417,0.21851828631192685,2.513650970744969,0.07155284314837336,False
method2,82,40.0,1.0,10.0,1e-08,0.8,1.0,0.04049637632497569,0.06905176039064646,0.38155132684195386,2.783697911273286,0.04951925181745141,True
method2,83,40.0,1.0,10.0,1e-06,0.9,1.0,0.04112515513150645,0.06739421950907067,0.3717948733740588,2.716932416217221,0.04991951880709623,True
method2,84,40.0,1.0,10.0,0.0001,1.0,1.0,0.04085386473836089,0.06797573892884838,0.3752656595400871,2.7410782886188785,0.04972971707347207,True
method2,85,40.0,1.0,20.0,1e-08,0.8,1.0,0.03146725876830948,0.06947373307306909,0.3833814904450604,2.7724582668040654,0.040521117710612724,True
method2,86,40.0,1.0,20.0,1e-06,0.9,1.0,0.031157039688274293,0.06868895609119641,0.3795415136736798,2.7495910010303297,0.04012266546226305,True
method2,87,40.0,1.0,20.0,0.0001,1.0,1.0,0.03171595563758853,0.06779052081545264,0.3733308364683769,2.8956228027676447,0.04063038376833989,True
method2,88,40.0,1.0,50.0,1e-08,0.8,1.0,0.028637431434533723,0.06662172202895626,0.371645323903577,2.8123130393066598,0.037476494432258596,True
method2,89,40.0,1.0,50.0,1e-06,0.9,1.0,0.028633637836018945,0.06474902376742075,0.3601051665139545,2.5822056680701735,0.03712684400033312,True
method2,90,40.0,1.0,50.0,0.0001,1.0,1.0,0.02821103249590857,0.06711252935762935,0.37037208293256196,2.6619844725181196,0.03694946639081887,True
method2,91,40.0,2.0,1.0,1e-08,0.8,1.0,0.07749485668360705,0.11790933868510962,0.2878507128122677,4.732233697342855,0.08561798778852382,False
