case_id,task_gain,position_weight,drift_weight,gamma,activation_power,activation_exp_clip,tau,substeps,regularization_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg198_pw8e03_dw0p001_g40,198.0,8000.0,0.001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.9191658166347525e-06,3.342131012033574e-06,4.012125181943736e-06,0.5123659797157327,0.6457174999995914,3.416026151527112
tg198_pw1p2e04_dw0p001_g40,198.0,12000.0,0.001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.930512732242767e-06,3.3421311568801495e-06,4.012125579326023e-06,0.5123662533750586,0.7094692999999097,3.419731799902804
tg198_pw8e03_dw0p0005_g40,198.0,8000.0,0.0005,40.0,0.9,2.0,0.005,1,1e-09,ok,2.936251160542059e-06,3.3421312292478476e-06,4.012125867539433e-06,0.5123663902048824,0.6020170999981929,3.42160587826239
tg198_pw1p8e04_dw0p001_g40,198.0,18000.0,0.001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.9381735349323817e-06,3.342131253518411e-06,4.012125844604954e-06,0.51236643581485,0.6847577999978967,3.4222336448677377
tg198_pw1p2e04_dw0p0005_g40,198.0,12000.0,0.0005,40.0,0.9,2.0,0.005,1,1e-09,ok,2.942032577375478e-06,3.3421313016155457e-06,4.012126065524626e-06,0.5123665270348222,0.6687189000003855,3.4234939572374863
tg198_pw1p8e04_dw0p0005_g40,198.0,18000.0,0.0005,40.0,0.9,2.0,0.005,1,1e-09,ok,2.9459106185284137e-06,3.342131349879413e-06,4.0121261990664725e-06,0.5123666182548121,0.6626601999996637,3.424760437337625
tg198_pw8e03_dw0p0001_g40,198.0,8000.0,0.0001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.9501983225582415e-06,3.342131402807909e-06,4.0121270600819915e-06,0.5123667185969115,0.6592378999994253,3.426161002129368
tg198_pw1p2e04_dw0p0001_g40,198.0,12000.0,0.0001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.951371658869328e-06,3.3421314173038626e-06,4.012127098283894e-06,0.5123667459629387,0.6210514000013063,3.426544186155146
tg198_pw1p8e04_dw0p0001_g40,198.0,18000.0,0.0001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.9521548246080315e-06,3.3421314269121613e-06,4.01212712787151e-06,0.5123667642069601,0.7160407999981544,3.4267999513478173
tg180_pw8e03_dw0p001_g40,180.0,8000.0,0.001,40.0,0.9,2.0,0.005,1,1e-09,ok,3.057411870612438e-06,3.500452428964559e-06,4.372596850313891e-06,0.5123666688297562,0.6583714000007603,3.649072603571243
tg180_pw1p2e04_dw0p001_g40,180.0,12000.0,0.001,40.0,0.9,2.0,0.005,1,1e-09,ok,3.0692963277275178e-06,3.5004526108337816e-06,4.372597344705887e-06,0.5123669554496514,0.6356914999996661,3.652953840730497
tg180_pw8e03_dw0p0005_g40,180.0,8000.0,0.0005,40.0,0.9,2.0,0.005,1,1e-09,ok,3.075306604281074e-06,3.5004527016018995e-06,4.372597673871742e-06,0.5123670987597744,0.6283880999981193,3.6549167152871513
tg180_pw1p8e04_dw0p001_g40,180.0,18000.0,0.001,40.0,0.9,2.0,0.005,1,1e-09,ok,3.077320047841543e-06,3.500452731987846e-06,4.3725976742748665e-06,0.512367146529843,0.6291851999994833,3.655574232629516
tg180_pw1p2e04_dw0p0005_g40,180.0,12000.0,0.0005,40.0,0.9,2.0,0.005,1,1e-09,ok,3.0813619056707993e-06,3.5004527924810982e-06,4.372597920310782e-06,0.5123672420700158,0.6807024999980058,3.6568942585959334
tg180_pw1p8e04_dw0p0005_g40,180.0,18000.0,0.0005,40.0,0.9,2.0,0.005,1,1e-09,ok,3.0854236621357076e-06,3.500452853308471e-06,4.372598086916329e-06,0.5123673376102361,0.6809008000018366,3.6582207495340917
tg180_pw8e03_dw0p0001_g40,180.0,8000.0,0.0001,40.0,0.9,2.0,0.005,1,1e-09,ok,3.089914488409476e-06,3.5004529199125816e-06,4.372598924786622e-06,0.5123674427045767,0.6171114000026137,3.6596876394549893
tg180_pw1p2e04_dw0p0001_g40,180.0,12000.0,0.0001,40.0,0.9,2.0,0.005,1,1e-09,ok,3.0911434093648312e-06,3.5004529382441263e-06,4.372598977507222e-06,0.5123674713666689,0.6135978000020259,3.6600889821703055
tg180_pw1p8e04_dw0p0001_g40,180.0,18000.0,0.0001,40.0,0.9,2.0,0.005,1,1e-09,ok,3.091963676203317e-06,3.5004529495752655e-06,4.372599000313825e-06,0.5123674904747408,0.6672725999997056,3.6603568606666066
tg216_pw1p2e04_dw0p001_g160,216.0,12000.0,0.001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.26918778608573385,0.38432121891073867,2.329844592578328,2.329844592578328,0.7080879000022833,1152184.373337417
tg216_pw1p8e04_dw0p0001_g160,216.0,18000.0,0.0001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.45506055655448024,0.5144099403397401,2.340643215232345,2.4187002730584224,0.798421600000438,1247973.9467987213
tg216_pw1p8e04_dw0p001_g160,216.0,18000.0,0.001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.4276519972550537,0.4572762079347018,2.4746866848999685,2.5382549011835085,0.6479798999971536,1281628.5718375195
tg216_pw8e03_dw0p0001_g160,216.0,8000.0,0.0001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.46523736121471243,0.5776792230941192,2.4810213640869376,2.7629007905729286,0.6434538000030443,1324850.7684713812
tg198_pw1p8e04_dw0p001_g160,198.0,18000.0,0.001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.4560368512577621,0.572875110127659,2.5234514714825873,2.6747241786627907,0.6350812999990012,1338454.12769837
tg216_pw1p8e04_dw0p0005_g160,216.0,18000.0,0.0005,160.0,0.9,2.0,0.005,1,1e-09,ok,0.288225297604026,0.3936229697928378,2.7765845493179895,2.850295479434512,0.6215055000029679,1347338.3739354576
tg198_pw1p2e04_dw0p0001_g160,198.0,12000.0,0.0001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.44267665186949406,0.5615356921595249,2.6575720467409,2.7920247630084485,0.654480400000466,1387492.3827893292
tg198_pw8e03_dw0p0001_g160,198.0,8000.0,0.0001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.4593564669538308,0.6477304001738197,2.635522565141286,2.7973489008885997,0.6414647999990848,1403981.706916673
tg216_pw8e03_dw0p001_g160,216.0,8000.0,0.001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.4944738832633172,0.65018978162559,2.6522828877188944,2.8099514596007364,0.6396550000026764,1423034.0364602995
tg216_pw1p2e04_dw0p0001_g160,216.0,12000.0,0.0001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.4449165275331818,0.5603104813094466,2.7911497924533677,2.7911497924533677,0.6513008000001719,1443775.381431778
tg180_pw1p2e04_dw0p0005_g160,180.0,12000.0,0.0005,160.0,0.9,2.0,0.005,1,1e-09,ok,0.4948578162300371,0.6417225694945459,2.712835033997077,2.899454529618514,0.6644569000018237,1446481.8531871773
tg198_pw1p2e04_dw0p001_g160,198.0,12000.0,0.001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.46648680104554113,0.5845400670181082,2.821909476731364,2.9163976211720652,0.7241016000007221,1469372.9092748906
tg198_pw1p8e04_dw0p0005_g160,198.0,18000.0,0.0005,160.0,0.9,2.0,0.005,1,1e-09,ok,0.4508202270042915,0.6443982864711515,2.809601826927607,2.8786753060423407,0.6623377000032633,1473181.2939290535
tg180_pw1p8e04_dw0p0001_g160,180.0,18000.0,0.0001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.4595118702299257,0.7217028331001065,2.899524460147956,2.907021003507148,0.6776546999972197,1531780.1255663235
tg180_pw8e03_dw0p0005_g160,180.0,8000.0,0.0005,160.0,0.9,2.0,0.005,1,1e-09,ok,0.4525312002816369,0.5308424684924372,3.0528404107965463,3.156200339221134,0.644820499997877,1548730.2627401964
tg180_pw1p2e04_dw0p001_g160,180.0,12000.0,0.001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.5125679661474452,0.7106977268422507,2.9376880551056694,3.030406150444634,0.7467714000013075,1562472.9500921322
tg198_pw1p8e04_dw0p0001_g160,198.0,18000.0,0.0001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.5035765437764487,0.8095308280639417,3.132425640605517,3.2277015639069435,0.6809309999989637,1664173.2099203658
tg180_pw1p8e04_dw0p0005_g160,180.0,18000.0,0.0005,160.0,0.9,2.0,0.005,1,1e-09,ok,0.5142074532006435,0.8079253400421516,3.228260831772004,3.3753903088254558,0.6073323000018718,1707329.4756258898
tg180_pw1p2e04_dw0p0001_g160,180.0,12000.0,0.0001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.5274207223238295,0.8331274555932515,3.232824508632346,3.276204324147949,0.6119221999979345,1719475.8086314737
tg198_pw8e03_dw0p001_g160,198.0,8000.0,0.001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.4744810943142304,0.891294189950842,3.2932806367470717,3.2932806367470717,0.6131094999982452,1741132.1833068018
tg216_pw8e03_dw0p0005_g160,216.0,8000.0,0.0005,160.0,0.9,2.0,0.005,1,1e-09,ok,0.5015523514519407,0.8689333555002842,3.375871054962283,3.559432091995119,0.6655178000000888,1779242.0345938748
tg180_pw8e03_dw0p001_g160,180.0,8000.0,0.001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.5054926105849322,0.8873928917463751,3.4090797531693187,3.4090797531693187,0.6895925999997417,1798749.840996359
tg198_pw8e03_dw0p0005_g160,198.0,8000.0,0.0005,160.0,0.9,2.0,0.005,1,1e-09,ok,0.5586064048782806,0.8246511029185712,3.4118599108626944,3.425082282197511,0.6143276000002516,1802509.6686144858
tg180_pw8e03_dw0p0001_g160,180.0,8000.0,0.0001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.5191760640539546,0.8770492174524416,3.432094926249047,3.480892367743633,0.6325738000014098,1810408.1070339647
tg198_pw1p2e04_dw0p0005_g160,198.0,12000.0,0.0005,160.0,0.9,2.0,0.005,1,1e-09,ok,0.5142169714108493,0.8957447799685799,3.5383828197494087,3.5397048220848095,0.7013488999982656,1857614.5258915871
tg180_pw1p8e04_dw0p001_g160,180.0,18000.0,0.001,160.0,0.9,2.0,0.005,1,1e-09,ok,0.4239060255571719,0.8628199041349245,3.801577983212629,3.835637803908286,0.6493591999969794,1930407.2456744723
tg216_pw1p2e04_dw0p0005_g160,216.0,12000.0,0.0005,160.0,0.9,2.0,0.005,1,1e-09,ok,0.34302815639129824,0.6169427697926803,4.030006987878357,4.030006987878357,0.652707700002793,1941693.572492636
