case_id,task_gain,position_weight,drift_weight,regularization_gain,solver_max_iters,use_jacobi_preconditioner,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,mean_inner_iterations,wall_clock_run_s,result_dir,composite_score
tg180_pw1e04_dw0p002_rg1em10_it5_jac1,180.0,10000.0,0.002,1e-10,5,True,ok,0.00020433684028349464,6.176393668662965e-07,9.352904375685154e-06,3.201041475629948e-06,4.51275,1.749199599998974,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p002_rg1em10_it5_jac1\offline,6.672656594321052
tg198_pw1p5e04_dw0p002_rg1em08_it5_jac1,198.0,15000.0,0.002,1e-08,5,True,ok,0.00020433672686510598,6.076872199323393e-07,9.475042020064945e-06,4.5082724253895334e-06,4.49825,1.7732942000002367,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1p5e04_dw0p002_rg1em08_it5_jac1\offline,6.797500814750507
tg180_pw1p5e04_dw0p002_rg1em08_it5_jac1,180.0,15000.0,0.002,1e-08,5,True,ok,0.000204336800102229,6.176301339531697e-07,9.834756983746402e-06,4.433957498984812e-06,4.5035,1.6335791000019526,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1p5e04_dw0p002_rg1em08_it5_jac1\offline,7.026122165777443
tg198_pw8e03_dw0p001_rg1em09_it5_jac1,198.0,8000.0,0.001,1e-09,5,True,ok,0.00020433672277948335,6.087056249777556e-07,1.0189954366811512e-05,3.369559455605395e-06,4.44825,1.7194209000008414,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw8e03_dw0p001_rg1em09_it5_jac1\offline,7.205487362072422
tg180_pw8e03_dw0p001_rg1em08_it5_jac1,180.0,8000.0,0.001,1e-08,5,True,ok,0.0002043367956167512,6.176201167627796e-07,1.1388982639384709e-05,3.42109882250229e-06,4.441,1.8283807999978308,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p001_rg1em08_it5_jac1\offline,7.970617209227078
tg198_pw1p5e04_dw0p0005_rg1em10_it5_jac1,198.0,15000.0,0.0005,1e-10,5,True,ok,0.00020433668119515812,6.113670887194301e-07,1.1667551393278452e-05,1.0471704407642969e-05,4.38825,1.7169538999987708,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1p5e04_dw0p0005_rg1em10_it5_jac1\offline,8.419157259717316
tg198_pw1e04_dw0p001_rg1em08_it5_jac1,198.0,10000.0,0.001,1e-08,5,True,ok,0.00020433671173243962,6.075817516278049e-07,1.2406827988615944e-05,4.2292210089762166e-06,4.45,1.7187535000011849,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p001_rg1em08_it5_jac1\offline,8.644543514019674
tg180_pw1e04_dw0p001_rg1em08_it6_jac1,180.0,10000.0,0.001,1e-08,6,True,ok,0.00020433678315993477,6.176265018758232e-07,1.2473286262204991e-05,5.211647067009682e-06,4.84325,1.6842319999996107,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p001_rg1em08_it6_jac1\offline,8.738190621542492
tg198_pw8e03_dw0p001_rg1em10_it5_jac1,198.0,8000.0,0.001,1e-10,5,True,ok,0.000204336722861109,6.078940397591042e-07,1.3522424593595645e-05,3.4071302569995844e-06,4.447,1.7776421000016853,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw8e03_dw0p001_rg1em10_it5_jac1\offline,9.319926083429303
tg198_pw8e03_dw0p001_rg1em09_it6_jac1,198.0,8000.0,0.001,1e-09,6,True,ok,0.00020433672239614724,6.079804152121807e-07,1.3566099530812569e-05,3.963306909708352e-06,4.86275,1.689139800000703,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw8e03_dw0p001_rg1em09_it6_jac1\offline,9.379761360610223
tg180_pw1e04_dw0p002_rg1em09_it6_jac1,180.0,10000.0,0.002,1e-09,6,True,ok,0.00020433684020901004,6.176344471349714e-07,1.409119655091789e-05,3.912387798103495e-06,4.9225,1.7731320000020787,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p002_rg1em09_it6_jac1\offline,9.715440023760115
tg180_pw1e04_dw0p001_rg1em09_it5_jac1,180.0,10000.0,0.001,1e-09,5,True,ok,0.00020433678331797621,6.176494507274437e-07,1.5857296680096083e-05,4.377530134460366e-06,4.439,1.7678760999988299,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p001_rg1em09_it5_jac1\offline,10.841478763443652
tg180_pw8e03_dw0p001_rg1em10_it6_jac1,180.0,8000.0,0.001,1e-10,6,True,ok,0.00020433679562036378,6.176212637795534e-07,1.6093416713993725e-05,3.88150259010263e-06,4.86975,1.7733633000025293,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p001_rg1em10_it6_jac1\offline,10.982609532520172
tg180_pw1p5e04_dw0p002_rg1em10_it5_jac1,180.0,15000.0,0.002,1e-10,5,True,ok,0.0002043368001343824,6.176405464726576e-07,1.6121780513968904e-05,4.746239016622612e-06,4.4735,1.7730265999998664,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1p5e04_dw0p002_rg1em10_it5_jac1\offline,11.024454870845275
tg180_pw1p5e04_dw0p001_rg1em09_it6_jac1,180.0,15000.0,0.001,1e-09,6,True,ok,0.0002043367683825242,6.176699873267722e-07,1.6401273766527898e-05,8.524536877619225e-06,4.82875,1.7989002000031178,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1p5e04_dw0p001_rg1em09_it6_jac1\offline,11.35809918034789
tg180_pw8e03_dw0p001_rg1em10_it5_jac1,180.0,8000.0,0.001,1e-10,5,True,ok,0.0002043367956443122,6.176554000465437e-07,1.70130948159605e-05,3.4948263202996957e-06,4.44475,1.7720050999996602,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p001_rg1em10_it5_jac1\offline,11.540106262279819
