avg_step_time_s,final_joint_drift_norm_rad,final_position_error_m,final_solver_residual,gamma,mean_position_error_m,mean_solver_residual,ns,returncode,runtime_s,shape,summary_path
0.0006657209999993938,4.870691169563172e-07,1.776302482211323e-07,2.9760352577569506e-05,200,5.20904822773607e-05,0.008839313057517402,10,0,2.6628839999975753,figure8,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g200_ns10\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0011735262000001968,4.861228564654329e-07,1.775514397158196e-07,2.9750348031757623e-05,200,3.347290687420346e-05,0.005477747742079542,20,0,4.694104800000787,figure8,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g200_ns20\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0021296773250014667,4.867171647773098e-07,1.7802522697483366e-07,2.9838844775492077e-05,200,2.4313478351875562e-05,0.003959484344458058,40,0,8.518709300005867,figure8,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g200_ns40\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.003166861900001095,4.867507804290654e-07,1.7814981169072016e-07,2.986475731899014e-05,200,2.287371286388388e-05,0.0037211166870219047,60,0,12.66744760000438,figure8,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g200_ns60\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0002773968999990757,6.480385782835049e-05,2.365539172412923e-05,0.02364916948771033,500,0.0007132436625478644,0.18453446142892738,1,0,1.1095875999963027,figure8,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns1\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.00044288832500024,8.892420893395393e-07,1.8865104912488628e-07,3.191019760218693e-05,500,7.947426010121797e-05,0.017960205961484624,5,0,1.77155330000096,figure8,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns5\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0006638754250016064,5.134792571013217e-07,1.4699700018916287e-07,2.5071233226373853e-05,500,4.543865184148182e-05,0.008946033443770582,10,0,2.6555017000064254,figure8,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns10\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0011756655749995844,5.545463836411219e-07,1.50764313896207e-07,2.569209760311862e-05,500,2.526202625937848e-05,0.0045483579615738295,20,0,4.702662299998337,figure8,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns20\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0021833644750004167,5.69725761460379e-07,1.5250058662814315e-07,2.5973568999866738e-05,500,1.4767283254532401e-05,0.002438542724150337,40,0,8.733457900001667,figure8,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns40\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0031399233499996627,5.736237345739614e-07,1.527247161002017e-07,2.601693731821403e-05,500,1.1786540864280594e-05,0.0019291329038614315,60,0,12.55969339999865,figure8,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns60\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
