case_id,task_gain,mu_gain,activation_power,solver_substeps,solver_gamma_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,wall_clock_run_s,result_dir,composite_score
tg200_mu16p0_ap0p95_ns40_gg3072,200.0,16.0,0.95,40,3072.0,ok,0.0001982761428312106,1.1197492909156031e-06,3.5377104443844443e-06,0.008876127193069901,3.07344749999902,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu16p0_ap0p95_ns40_gg3072\offline,1.822378094126201
tg220_mu12p0_ap0p95_ns80_gg3840,220.0,12.0,0.95,80,3840.0,ok,0.000201494090669877,1.0131213382559323e-06,4.510805532322971e-06,0.003061606291083479,6.831594300001598,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu12p0_ap0p95_ns80_gg3840\offline,1.830256306409767
tg220_mu16p0_ap0p95_ns40_gg3840,220.0,16.0,0.95,40,3840.0,ok,0.00019938684589927615,1.1929483275046833e-06,3.6154200149119213e-06,0.00846074340886263,3.6863832999988517,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu16p0_ap0p95_ns40_gg3840\offline,1.8452580316101772
tg200_mu12p0_ap0p95_ns80_gg4608,200.0,12.0,0.95,80,4608.0,ok,0.00020161055574314336,1.0523774961230552e-06,4.597863283280865e-06,0.002822249971913276,5.265621099999407,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu12p0_ap0p95_ns80_gg4608\offline,1.8523690140684956
tg180_mu16p0_ap0p95_ns40_gg3840,180.0,16.0,0.95,40,3840.0,ok,0.0001982166641950876,1.230681632963136e-06,3.7021170470476128e-06,0.007989222904664561,3.2342372000020987,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg180_mu16p0_ap0p95_ns40_gg3840\offline,1.8560313625360303
tg200_mu16p0_ap0p95_ns40_gg3840,200.0,16.0,0.95,40,3840.0,ok,0.0001991147817104701,1.2201751560310027e-06,3.7021895656316427e-06,0.008517482281933384,3.162692699999752,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu16p0_ap0p95_ns40_gg3840\offline,1.8748049150706854
tg220_mu12p0_ap0p95_ns80_gg3072,220.0,12.0,0.95,80,3072.0,ok,0.00020113765803316918,1.043159988030169e-06,4.683607156951047e-06,0.0032567858757981613,5.8944948999996996,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu12p0_ap0p95_ns80_gg3072\offline,1.8868775252379846
tg220_mu16p0_ap0p95_ns40_gg4608,220.0,16.0,0.95,40,4608.0,ok,0.00019935624787897826,1.2846349400294686e-06,3.667591849204744e-06,0.00880439193090683,3.494395699999586,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu16p0_ap0p95_ns40_gg4608\offline,1.8921766018908763
tg200_mu12p0_ap0p95_ns80_gg3840,200.0,12.0,0.95,80,3840.0,ok,0.00020122518558213974,1.0746338430832548e-06,4.729011136721605e-06,0.0029564862262511783,5.290030799998931,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu12p0_ap0p95_ns80_gg3840\offline,1.8944968862773377
tg200_mu16p0_ap0p95_ns40_gg4608,200.0,16.0,0.95,40,4608.0,ok,0.00019894566360399325,1.3191927059880153e-06,3.786127119573406e-06,0.00823986524862136,3.1459394000012253,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu16p0_ap0p95_ns40_gg4608\offline,1.9080492474241377
tg220_mu12p0_ap0p95_ns60_gg4608,220.0,12.0,0.95,60,4608.0,ok,0.0002015135243685498,1.1478873981672099e-06,4.6280977967587025e-06,0.0037542027269099783,4.640006199999334,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu12p0_ap0p95_ns60_gg4608\offline,1.9164067153059712
tg180_mu12p0_ap0p95_ns80_gg4608,180.0,12.0,0.95,80,4608.0,ok,0.00020127151113977782,1.1212578347730943e-06,4.824578624574566e-06,0.002752592662052946,7.2875905000000785,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg180_mu12p0_ap0p95_ns80_gg4608\offline,1.9216265331711244
tg220_mu12p0_ap0p95_ns60_gg3840,220.0,12.0,0.95,60,3840.0,ok,0.00020101830457707576,1.1209106870395817e-06,4.666204631689447e-06,0.003984212618504897,4.645016500002384,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu12p0_ap0p95_ns60_gg3840\offline,1.927307699403028
tg200_mu16p0_ap0p85_ns40_gg3840,200.0,16.0,0.85,40,3840.0,ok,0.00019801073618386393,1.2351187256917183e-06,3.75291662858216e-06,0.009809625243507003,3.4029856999986805,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu16p0_ap0p85_ns40_gg3840\offline,1.9368659101113952
tg180_mu16p0_ap0p95_ns40_gg4608,180.0,16.0,0.95,40,4608.0,ok,0.0001991545112469853,1.3528728894485508e-06,3.905725022880038e-06,0.008299564553349703,3.098735999999917,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg180_mu16p0_ap0p95_ns40_gg4608\offline,1.948235318216774
tg180_mu16p0_ap0p85_ns40_gg3072,180.0,16.0,0.85,40,3072.0,ok,0.0001969473349939167,1.1572763992469253e-06,3.815609710709098e-06,0.01035622253394632,4.303181300001597,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg180_mu16p0_ap0p85_ns40_gg3072\offline,1.9528492339520729
tg200_mu12p0_ap0p95_ns80_gg3072,200.0,12.0,0.95,80,3072.0,ok,0.00020071951420638906,1.1058164099988591e-06,4.900781571071651e-06,0.0032489822109857914,5.484803600000305,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu12p0_ap0p95_ns80_gg3072\offline,1.9544699777426293
tg220_mu12p0_ap0p95_ns60_gg3072,220.0,12.0,0.95,60,3072.0,ok,0.00020090105721451095,1.10075326756875e-06,4.764371241821643e-06,0.004297846300846735,5.342243500002951,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu12p0_ap0p95_ns60_gg3072\offline,1.958527225327137
tg180_mu12p0_ap0p95_ns80_gg3840,180.0,12.0,0.95,80,3840.0,ok,0.00020095410673515114,1.1449084510023237e-06,4.953850352360587e-06,0.00291945078717998,7.220646599998872,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg180_mu12p0_ap0p95_ns80_gg3840\offline,1.9649403242145635
tg200_mu12p0_ap0p95_ns60_gg4608,200.0,12.0,0.95,60,4608.0,ok,0.0002013850815829587,1.1983512179244784e-06,4.805770261618454e-06,0.003767718168502218,4.17801419999887,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu12p0_ap0p95_ns60_gg4608\offline,1.972638164623988
