"stage","trajectory","task_gain","drift_gain","solver_gamma","activation_power","dlccznn_inner_steps","mean_position_error_m","final_position_error_m","final_joint_drift_norm_rad","max_position_error_m","runtime_s","path"
"stage2_solver_coupling","small_circle","340","10","3072","0.8","60","6.75368645287927E-06","4.15261068181659E-07","1.49800486701554E-06","4.15478460756007E-05","5.92271579999942","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","3072","0.85","40","7.97024992266994E-06","1.45984541902862E-07","6.92631666849307E-07","4.3801682978703E-05","4.21997589999955","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g3072_p085_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","3072","0.85","60","5.03739548375381E-06","7.09266002601533E-08","3.71476031251499E-07","3.15168875976912E-05","6.15317080000386","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g3072_p085_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","4096","0.75","40","2.70841287256277E-05","7.40959125728879E-06","1.66719036692754E-05","0.000301262244162215","4.09407909999572","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4096_p075_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","4096","0.75","60","1.58198659342706E-05","2.99280807792406E-06","1.22599952085273E-05","0.000111345160000492","6.13378160000138","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4096_p075_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","4096","0.8","40","1.79014369087149E-05","2.2440566878458E-06","9.15828565237996E-06","0.000107165404496766","4.05460770000354","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4096_p080_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","4096","0.8","60","9.11150602386777E-06","8.18839366838109E-07","2.98168685858156E-06","5.82462080720159E-05","5.90419339999789","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4096_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","4096","0.85","40","9.31734232004676E-06","3.88086506873171E-07","2.07477568635527E-06","6.20014244681847E-05","4.06543960000272","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4096_p085_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","4096","0.85","60","5.11198633723201E-06","3.27805032810722E-08","1.7451095195101E-07","2.82051825045007E-05","6.86706879999838","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4096_p085_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","4608","0.75","40","2.90067071143889E-05","7.85217205478322E-06","2.60779899798456E-05","0.000156637612846278","4.27674939999997","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4608_p075_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
