mode,shape,gamma,ns,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,runtime_s,summary_path
offline,circle,80,20,7.406808560194789e-05,2.3042350976216397e-07,9.065226260017926e-07,4.668432099999336,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g80_ns20\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,80,40,6.973271494383473e-05,2.3046410238616517e-07,9.072458299000318e-07,8.58289810000133,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g80_ns40\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,80,60,6.959001861881123e-05,2.304790907666996e-07,9.075021518748307e-07,12.734324600001855,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g80_ns60\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,200,1,0.00041532185007352396,5.392462888251299e-06,2.882453390407617e-05,1.1409110000022338,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g200_ns1\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,200,5,0.00011844962697924705,1.5489565311633942e-07,4.5283771160879104e-07,1.7846524999986286,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g200_ns5\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,200,10,6.373990985042723e-05,1.685774981232489e-07,4.906632858347899e-07,2.6616290000019944,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g200_ns10\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,200,20,3.981293301104609e-05,1.6754425047937212e-07,4.849404957190587e-07,4.690882800001418,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g200_ns20\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,200,40,2.807226026121503e-05,1.6751465010392994e-07,4.847931509132033e-07,8.592709800002922,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g200_ns40\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,200,60,2.5317328827207866e-05,1.6750386075750173e-07,4.847368791555584e-07,12.662706700000854,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g200_ns60\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,500,1,0.0007954530671478889,2.3981624265624626e-05,6.771666867472532e-05,1.1349024000010104,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g500_ns1\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
