case_id,task_gain,mu_gain,gamma,substeps,activation_power,activation_exp_clip,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg260_mu12_g3072_ns100,260.0,12.0,3072.0,100,0.8,4.0,ok,2.4433106331309122e-06,1.4062372963071487e-06,2.698236237531505e-06,0.5123568514346297,3.3283334000007017,2.219390227852167
tg220_mu16_g2048_ns100,220.0,16.0,2048.0,100,0.8,4.0,ok,9.504763691131507e-06,1.4681409329662048e-06,1.0320730707166904e-06,0.5123506097629821,3.268885000001319,2.2455789353032807
tg220_mu12_g3072_ns100,220.0,12.0,3072.0,100,0.8,4.0,ok,2.886966429010186e-06,1.6494001347976241e-06,2.5982519398154806e-06,0.5123577593799051,3.493449400000827,2.267313512798546
tg220_mu12_g2048_ns100,220.0,12.0,2048.0,100,0.8,4.0,ok,6.545372419307079e-06,1.4689202507062635e-06,1.7816944901626364e-06,0.5123541773208344,3.4651919999996608,2.2701710737730045
tg260_mu20_g2560_ns80,260.0,20.0,2560.0,80,0.8,4.0,ok,6.858863628276936e-06,1.1243413650446158e-06,1.8335483361676652e-06,0.5123522162226019,2.7376712000004773,2.283494995702451
tg180_mu20_g2560_ns100,180.0,20.0,2560.0,100,0.8,4.0,ok,9.922213183678737e-06,1.743951054313984e-06,9.144299100213086e-07,0.5123514411807165,3.4121307999994315,2.2851167177736755
tg260_mu16_g2048_ns60,260.0,16.0,2048.0,60,0.8,4.0,ok,8.029956742593384e-06,1.4726744710548197e-06,1.4836846869273596e-06,0.5123517992070458,2.146508999998332,2.3052657704245223
tg260_mu12_g2560_ns80,260.0,12.0,2560.0,80,0.8,4.0,ok,3.559661613632007e-06,1.4199820639518346e-06,2.572843079756581e-06,0.5123560764808398,2.744071000000986,2.306799943891298
tg180_mu12_g2560_ns100,180.0,12.0,2560.0,100,0.8,4.0,ok,5.13439740403074e-06,1.7393110307505642e-06,2.1199689091017966e-06,0.512357283839858,4.765659100001358,2.319508037350545
tg220_mu20_g2560_ns80,220.0,20.0,2560.0,80,0.8,4.0,ok,8.105623160590418e-06,1.3287332452082728e-06,1.5722207838627093e-06,0.5123522691635211,2.759521100000711,2.3429122679219483
