step,time_s,cycle_period_s,cycle_work_s,state_read_s,state_age_s,controller_step_s,publish_s,sleep_s,command_step_norm_rad,command_step_max_abs_rad,command_velocity_norm_rad_s,command_accel_norm_rad_s2,feedback_velocity_norm_rad_s,tcp_pose_used,tcp_pose_age_s,tcp_fk_error_norm_m,deadline_miss,period_overrun
12,0.06,0.0050903239998660865,0.000801198999852204,3.7069999052619096e-06,4.5044999751553405e-05,0.0005743720003010822,2.8483999813033734e-05,0.0040691789999982575,3.5786204089223078e-06,2.4820598905917646e-06,0.0007157240817844615,0.23285589272661097,0.0,False,nan,nan,False,False
13,0.065,0.004909181000130047,0.0007995070000106352,3.50600021192804e-06,0.0011078580000685179,0.0005702549997295137,3.2902000384638086e-05,0.004159508999691752,1.9332167265036825e-06,1.3916088594800868e-06,0.0003866433453007365,0.14524605494214687,0.0,False,nan,nan,False,False
14,0.07,0.0050905939997392124,0.0007987049998519069,3.347000074427342e-06,4.502499996306142e-05,0.0005721590000575816,2.9043999802524922e-05,0.004072094000093784,8.029869225557316e-06,6.317373594157828e-06,0.0016059738451114634,0.34480419081452485,0.0,False,nan,nan,False,False
15,0.075,0.004914501000257587,0.0008123609995891456,3.5169996408512816e-06,0.001122005000070203,0.0005779389998679108,3.0777999654674204e-05,0.004141615000207821,5.279450627524404e-06,4.215941063718359e-06,0.0010558901255048807,0.12259669957885211,0.0,False,nan,nan,False,False
16,0.08,0.00509096399991904,0.0008202159997381386,3.4570002753753215e-06,5.3080000270711025e-05,0.0005914239995945536,2.8994999865972204e-05,0.004043651000301907,3.253157419156572e-06,2.1520060569325577e-06,0.0006506314838313145,0.13896975805891165,0.0,False,nan,nan,False,False
17,0.085,0.004904382999939116,0.0007933349997983896,3.485999968688702e-06,0.00109856100016259,0.0005697229998986586,3.289099959147279e-05,0.004167344000052253,4.467893426001378e-06,3.027960928214668e-06,0.0008935786852002757,0.2542976528772102,0.0,False,nan,nan,False,False
18,0.09,0.005105572000047687,0.0008291419999295613,3.857000137941213e-06,4.672799968830077e-05,0.0005865250000169908,3.00069996228558e-05,0.004024974999992992,1.557195714873835e-05,1.029458877233047e-05,0.0031143914297476704,0.7907604013461689,0.0,False,nan,nan,False,False
19,0.095,0.004893441999684001,0.0008276890002889559,3.6070000533072744e-06,0.0011011649999090878,0.0005869659999007126,2.768200010905275e-05,0.004132397999910609,5.615871940213926e-06,3.925674544102975e-06,0.0011231743880427854,0.41575380170751175,0.0,False,nan,nan,False,False
20,0.1,0.00502477899999576,0.0009007480002765078,4.6889999794075266e-06,0.002381117000368249,0.0006379730002663564,2.8793999717890983e-05,0.004032830000141985,3.995602142145069e-06,2.8191316476799955e-06,0.0007991204284290136,0.0768081941030608,0.0,False,nan,nan,False,False
21,0.105,0.004972170000201004,0.0007814830000825168,3.4059999052260537e-06,0.001038907999827643,0.0005643139998028346,2.790300004562596e-05,0.004183645000011893,2.0127917422647107e-05,1.6935436032476045e-05,0.004025583484529422,0.7246031768734148,0.0,False,nan,nan,False,False
