idx,sub,gamma,solver_lambda,ncp,mean,final,drift,res,min_slack,ok,score
39,80.0,100.0,1.0,0.0001,0.007566434358783061,0.0064499472428825025,0.03587551904371499,1.938180363686943,0.31382090606410706,True,0.010222125103344304
40,80.0,100.0,10.0,1e-08,0.010315978606193276,0.00914477794668263,0.05087243564629623,2.576862967461077,0.2556886174743689,True,0.013910290286580277
41,80.0,100.0,10.0,1e-06,0.010315978443307776,0.009144777734297449,0.05087243446157688,2.5768629264590404,0.2556886092233097,True,0.013910290058998354
42,80.0,100.0,10.0,0.0001,0.010315965548507826,0.00914475564258805,0.050872313862817334,2.5768619419171324,0.2556878921602215,True,0.013910273767681305
43,80.0,100.0,100.0,1e-08,0.01877963922510785,0.02117617582911494,0.11794066234890578,4.497539306105497,0.5490630729966137,True,0.025635991778191463
44,80.0,100.0,100.0,1e-06,0.018779638998371297,0.021176176345424916,0.11794066505786786,4.497539244550512,0.5490630733030986,True,0.025635991544079167
45,80.0,100.0,100.0,0.0001,0.01877962808563839,0.021176227969037145,0.11794093591490648,4.497517585813665,0.5490631067413694,True,0.025635964389750184
46,80.0,200.0,0.01,1e-08,0.0035250116909998053,0.0012803299382269612,0.006977748962129511,0.9454965703061354,0.5913019372560635,True,0.004610063240548531
47,80.0,200.0,0.01,1e-06,0.0035250040354306224,0.0012803254964018327,0.006977723643985988,0.9454944817575333,0.5913019852989787,True,0.004610052990067876
48,80.0,200.0,0.01,0.0001,0.0035242662371470002,0.0012798537231447419,0.006975030129863201,0.9453447585321451,0.591317220051417,True,0.004609111598276409
49,80.0,200.0,0.1,1e-08,0.00466598636081846,0.003006332045207822,0.016638803714467233,1.2401967412950865,0.594080048375301,True,0.006238959176402891
50,80.0,200.0,0.1,1e-06,0.004665983634826183,0.0030063306003970253,0.0166387955766278,1.2401960498057873,0.594080072907095,True,0.006238955596164527
51,80.0,200.0,0.1,0.0001,0.004665711187390743,0.003006221466696001,0.01663814450755664,1.2401269442155993,0.594083443880604,True,0.006238601021757475
52,80.0,200.0,1.0,1e-08,0.0067345825786471235,0.0055441292825135595,0.030820079498434395,1.7412027498521452,0.38538959715672183,True,0.009092186918467957
53,80.0,200.0,1.0,1e-06,0.006734582012679754,0.005544128937046989,0.030820077544052315,1.7412026123643836,0.3853896326807118,True,0.009092186175925185
54,80.0,200.0,1.0,0.0001,0.006734525340874674,0.005544094391268373,0.030819882112018634,1.7411888599162488,0.3853932290957789,True,0.009092111843031296
55,80.0,200.0,10.0,1e-08,0.009216837231051862,0.008367039141017035,0.04655959991589253,2.3232219420879034,0.23377758579598074,True,0.012471251171457615
56,80.0,200.0,10.0,1e-06,0.009216837131856292,0.008367038996509554,0.04655959911879766,2.3232219178674405,0.23377759741949378,True,0.012471251032099685
57,80.0,200.0,10.0,0.0001,0.009216827155527074,0.00836702454310578,0.0465595193947843,2.323219493921384,0.23377893547065232,True,0.012471237037344145
58,80.0,200.0,100.0,1e-08,0.015531992566717405,0.014334718573474172,0.07985981658519617,3.7575559167260817,0.5363377909182474,True,0.02088674481514741
59,80.0,200.0,100.0,1e-06,0.015531992461287893,0.014334718501336004,0.07985981618222666,3.7575558853875077,0.5363377835265468,True,0.020886744670319937
60,80.0,200.0,100.0,0.0001,0.015531980055474182,0.014334711297074275,0.07985977593876487,3.757552507680982,0.5363220928954029,True,0.02088672808193046
61,80.0,500.0,0.01,1e-08,0.0024738366449471518,0.0006971164338804646,0.0036880920466371503,0.6166658172135504,0.59758718669167,True,0.0031642643030934453
62,80.0,500.0,0.01,1e-06,0.00247383124735302,0.0006971151669031376,0.0036880845475616582,0.6166638990720837,0.5975872327006071,True,0.003164256837376337
63,80.0,500.0,0.01,0.0001,0.0024732908144417974,0.000696988564657777,0.0036873351996688387,0.6164719652400718,0.5975940600581673,True,0.003163509483675246
64,80.0,500.0,0.1,1e-08,0.003593597680947659,0.0020156849805090023,0.011107128946881076,0.9577727156558515,0.5959868721518842,True,0.004773512975541132
65,80.0,500.0,0.1,1e-06,0.003593595591210788,0.0020156840217051266,0.011107123463891255,0.9577721388832764,0.5959869001903235,True,0.0047735101993718896
66,80.0,500.0,0.1,0.0001,0.003593386626067535,0.0020155881312704056,0.011106575113639673,0.9577144719979589,0.5959897057127279,True,0.004773232600338287
67,80.0,500.0,1.0,1e-08,0.005651615453969465,0.004381215446170892,0.024326291021735887,1.4802783968380238,0.5011509782098249,True,0.007618419671242206
68,80.0,500.0,1.0,1e-06,0.005651614969068125,0.004381215209414762,0.024326289645349563,1.4802782762254991,0.5011510070063123,True,0.007618419038200616
69,80.0,500.0,1.0,0.0001,0.005651566487943498,0.004381191534585004,0.024326152012855953,1.480266219516669,0.5011539085443248,True,0.007618355747717286
70,80.0,500.0,10.0,1e-08,0.008163404558549586,0.007228602505910396,0.04021895959330917,2.077279758001276,0.29409963054051724,True,0.011045063508417045
